Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
75,5	 0,00329	75,5	  -173,8	75,5	     0,1	
75,75	 0,00463	75,75	   115,9	75,75	     0,2	
76	 0,00452	76	   6,229	76	     0,3	
76,25	 0,00493	76,25	  -47,87	76,25	     0,3	
76,5	  0,0046	76,5	  -147,7	76,5	     0,2	
76,75	 0,00513	76,75	   133,2	76,75	     0,2	
77	 0,00585	77	   19,32	77	     0,5	
77,25	 0,00627	77,25	  -40,63	77,25	     0,4	
77,5	 0,00547	77,5	  -128,1	77,5	     0,2	
77,75	 0,00598	77,75	   169,7	77,75	     0,2	
78	 0,00323	78	   27,15	78	     0,2	
78,25	 0,00679	78,25	  -42,92	78,25	     0,4	
78,5	 0,00595	78,5	  -117,6	78,5	     0,3	
78,75	 0,00854	78,75	  -167,6	78,75	     0,4	
79	 0,00222	79	   104,3	79	     0,1	
79,25	 0,00546	79,25	  -30,07	79,25	     0,3	
79,5	 0,00708	79,5	  -99,58	79,5	     0,4	
79,75	 0,00889	79,75	  -151,6	79,75	     0,4	
80	 0,00549	80	     160	80	     0,3	
80,25	 0,00274	80,25	  -22,32	80,25	     0,1	
80,5	  0,0066	80,5	  -90,35	80,5	     0,4	
80,75	  0,0106	80,75	  -146,2	80,75	     0,4	
81	  0,0103	81	   169,3	81	     0,5	
81,25	 0,00304	81,25	     105	81,25	     0,1	
81,5	 0,00387	81,5	  -84,51	81,5	     0,2	
81,75	 0,00995	81,75	  -148,5	81,75	     0,4	
82	  0,0129	82	   167,6	82	     0,5	
82,25	 0,00925	82,25	   115,3	82,25	     0,5	
82,5	 0,00367	82,5	    24,1	82,5	     0,1	
82,75	 0,00602	82,75	  -127,6	82,75	     0,2	
83	  0,0119	83	   172,2	83	     0,4	
83,25	  0,0116	83,25	   122,3	83,25	     0,5	
83,5	 0,00817	83,5	   53,63	83,5	     0,4	
83,75	   0,003	83,75	  -80,72	83,75	     0,1	
84	 0,00944	84	  -178,2	84	     0,3	
84,25	   0,013	84,25	   123,3	84,25	     0,5	
84,5	   0,011	84,5	   72,64	84,5	     0,5	
84,75	 0,00454	84,75	  -14,33	84,75	     0,2	
85	 0,00564	85	  -162,1	85	     0,2	
85,25	  0,0121	85,25	   134,8	85,25	     0,5	
85,5	  0,0123	85,5	    80,3	85,5	     0,5	
85,75	 0,00703	85,75	   23,01	85,75	     0,3	
86	 0,00399	86	  -125,3	86	     0,1	
86,25	 0,00888	86,25	   150,3	86,25	     0,4	
86,5	  0,0135	86,5	   89,38	86,5	     0,6	
86,75	  0,0106	86,75	   48,14	86,75	     0,5	
87	 0,00312	87	  -42,24	87	     0,1	
87,25	  0,0046	87,25	   157,1	87,25	     0,1	
87,5	  0,0108	87,5	   98,52	87,5	     0,5	
87,75	  0,0117	87,75	      60	87,75	     0,6	
88	 0,00738	88	   3,669	88	     0,4	
88,25	 0,00132	88,25	  -125,6	88,25	       0	
88,5	 0,00682	88,5	   118,1	88,5	     0,3	
88,75	  0,0116	88,75	    65,6	88,75	     0,6	
89	  0,0101	89	   16,24	89	     0,6	
89,25	  0,0054	89,25	  -57,05	89,25	     0,2	
89,5	 0,00467	89,5	     138	89,5	     0,1	
89,75	 0,00947	89,75	    83,1	89,75	     0,4	
90	  0,0111	90	   34,25	90	     0,6	
90,25	 0,00852	90,25	  -28,26	90,25	     0,4	
90,5	 0,00241	90,5	  -166,5	90,5	       0	
90,75	 0,00849	90,75	   93,19	90,75	     0,3	
91	  0,0112	91	   42,48	91	     0,7	
91,25	 0,00892	91,25	     -15	91,25	     0,5	
91,5	 0,00389	91,5	  -85,08	91,5	     0,1	
91,75	 0,00476	91,75	   122,8	91,75	     0,1	
92	 0,00924	92	   49,46	92	     0,5	
92,25	  0,0094	92,25	   5,044	92,25	     0,7	
92,5	 0,00507	92,5	  -53,96	92,5	     0,3	
92,75	 0,00323	92,75	   156,6	92,75	     0,1	
93	 0,00572	93	   56,55	93	     0,2	
93,25	 0,00867	93,25	    14,5	93,25	     0,7	
93,5	 0,00693	93,5	  -31,68	93,5	     0,6	
93,75	 0,00181	93,75	  -106,7	93,75	       0	
94	 0,00436	94	   83,85	94	     0,2	
94,25	 0,00588	94,25	   23,33	94,25	     0,4	
94,5	 0,00697	94,5	  -19,61	94,5	     0,7	
94,75	  0,0041	94,75	  -64,42	94,75	     0,3	
95	  0,0022	95	   115,3	95	     0,1	
95,25	 0,00521	95,25	   39,77	95,25	     0,3	
95,5	 0,00555	95,5	  0,1012	95,5	     0,5	
95,75	 0,00612	95,75	  -46,63	95,75	     0,5	
96	 0,00237	96	  -95,14	96	     0,1	
96,25	 0,00346	96,25	   62,75	96,25	     0,3	
96,5	 0,00511	96,5	  -1,357	96,5	     0,5	
96,75	 0,00569	96,75	   -34,7	96,75	     0,4	
97	  0,0043	97	  -85,77	97	     0,3	
97,25	   0,002	97,25	   120,6	97,25	     0,1	
97,5	 0,00447	97,5	   32,44	97,5	     0,5	
97,75	 0,00528	97,75	  -14,18	97,75	     0,5	
98	 0,00504	98	   -59,9	98	     0,4	
98,25	 0,00084	98,25	  -130,4	98,25	       0	
98,5	  0,0041	98,5	   45,01	98,5	     0,3	
98,75	 0,00557	98,75	     -14	98,75	     0,7	
99	 0,00598	99	  -46,61	99	     0,5	
99,25	 0,00269	99,25	  -81,23	99,25	     0,2	
99,5	 0,00138	99,5	   27,18	99,5	       0	
99,75	 0,00494	99,75	  -8,629	99,75	     0,9	
100	 0,00539	100	  -40,94	100	     0,6	
100,25	  0,0031	100,25	  -55,78	100,25	     0,3	
100,5	0,000868	100,5	   41,22	100,5	       0	
100,75	 0,00375	100,75	  -12,97	100,75	     0,5	
101	 0,00735	101	  -35,39	101	     0,8	
101,25	 0,00543	101,25	  -46,55	101,25	     0,6	
101,5	 0,00234	101,5	  -103,8	101,5	     0,2	
101,75	 0,00347	101,75	  -75,34	101,75	     0,3	
102	  0,0056	102	  -45,65	102	     0,8	
102,25	 0,00485	102,25	  -55,26	102,25	     0,6	
102,5	 0,00442	102,5	    -101	102,5	     0,6	
102,75	 0,00262	102,75	  -103,2	102,75	     0,2	
103	 0,00283	103	  -47,86	103	     0,5	
103,25	 0,00519	103,25	  -64,73	103,25	     0,6	
103,5	 0,00278	103,5	  -102,4	103,5	     0,5	
103,75	 0,00222	103,75	  -141,4	103,75	     0,1	
104	 0,00194	104	  -110,6	104	     0,2	
104,25	 0,00388	104,25	  -47,69	104,25	     0,4	
104,5	 0,00217	104,5	  -89,84	104,5	     0,4	
104,75	 0,00282	104,75	  -152,3	104,75	     0,4	
105	 0,00149	105	  -79,59	105	     0,3	
105,25	 0,00399	105,25	  -23,16	105,25	     0,5	
105,5	 0,00218	105,5	  -70,61	105,5	     0,3	
105,75	 0,00234	105,75	  -120,8	105,75	     0,5	
106	 0,00121	106	  -90,17	106	     0,3	
106,25	 0,00194	106,25	  -34,91	106,25	     0,2	
106,5	 0,00256	106,5	  -46,88	106,5	     0,4	
106,75	 0,00169	106,75	  -85,03	106,75	     0,2	
107	 0,00194	107	  -132,2	107	     0,2	
107,25	 0,00151	107,25	  -47,24	107,25	     0,3	
107,5	 0,00329	107,5	  -23,46	107,5	     0,4	
107,75	 0,00267	107,75	  -87,36	107,75	     0,4	
108	 0,00328	108	  -114,2	108	     0,3	
108,25	 0,00151	108,25	  -68,19	108,25	     0,4	
108,5	 0,00282	108,5	  -9,958	108,5	     0,4	
108,75	  0,0031	108,75	  -101,4	108,75	     0,5	
